name,rank,price,change_inValue,change_inPercent,updown
KODEX 200선물인버스2X,1,4235,-40,-0.94,하락
두산인프라코어,2,7590,150,2.02,상승
KODEX 레버리지,3,15000,135,0.91,상승
KODEX 인버스,4,5495,-30,-0.54,하락
오리엔트바이오,5,837,73,9.55,상승
KODEX 코스닥150선물인버스,6,5170,-35,-0.67,하락
유니온머티리얼,7,5510,190,3.57,상승
서연,8,11000,350,3.29,상승
삼성전자,9,57500,-500,-0.86,하락
KODEX 코스닥150 레버리지,10,13820,180,1.32,상승
아시아나항공,11,4295,205,5.01,상승
대한항공,12,19100,1000,5.52,상승
삼성 레버리지 WTI원유 선물 ETN,13,405,0,0,그대로
계양전기,14,3170,190,6.38,상승
후성,15,9110,-10,-0.11,하락
필룩스,16,3610,-720,-16.63,하락
덕성,17,6070,150,2.53,상승
SK증권,18,870,-8,-0.91,하락
명문제약,19,6420,30,0.47,상승	
대웅,20,31500,-3450,-9.87,하락
이아이디,21,247,-4,-1.59,하락
두산중공업,22,9140,80,0.88,상승
서연이화,23,4930,885,21.88,상승
신성통상,24,2100,-20,-0.94,하락
쌍방울,25,797,-13,-1.6,하락
KODEX 은선물(H),26,6115,225,3.82,상승
신한 레버리지 WTI원유 선물 ETN(H),27,325,-5,-1.52,하락
대한전선,28,743,-22,-2.88,하락
KODEX 200,29,31235,130,0.42,상승
디피씨,30,20300,350,1.75,상승
유니온,31,9550,370,4.03,상승
SK이노베이션,32,184000,20500,12.54,상승
모나미,33,8290,-180,-2.13,하락
드림텍,34,18400,-400,-2.13,하락
형지엘리트,35,1775,75,4.41,상승
영흥,36,1260,50,4.13,상승
미래에셋대우,37,8810,-30,-0.34,하락
SK하이닉스,38,80600,-500,-0.62,하락
제이알글로벌리츠,39,4825,125,2.66,상승
에이프로젠제약,40,1520,-30,-1.94,하락
한화생명,41,1460,-30,-2.01,하락
신성이엔지,42,1355,-60,-4.24,하락
남선알미늄,43,5150,-10,-0.19,하락
HMM,44,6600,170,2.64,상승
TIGER 200선물인버스2X,45,4375,-45,-1.02,하락
TIGER 원유선물Enhanced(H),46,2060,-20,-0.96,하락
삼부토건,47,928,33,3.69,상승
영화금속,48,2070,30,1.47,상승
서원,49,3290,-200,-5.73,하락
파미셀,50,22950,-650,-2.75,하락
KODEX 2차전지산업,51,13090,740,5.99,상승
메리츠증권,52,3350,-60,-1.76,하락
한국전력,53,19600,250,1.29,상승
서울식품,54,156,-1,-0.64,하락
한화솔루션,55,30050,1100,3.8,상승
TIGER 2차전지테마,56,12935,790,6.5,상승
아시아나IDT,57,22050,1250,6.01,상승
LG유플러스,58,11600,100,0.87,상승
인터지스,59,2800,250,9.8,상승
수산중공업,60,1720,70,4.24,상승
KODEX 코스닥 150,61,13610,105,0.78,상승
현대차,62,147000,2500,1.73,상승
동양물산,63,1165,-5,-0.43,하락
삼성중공업,64,5440,-30,-0.55,하락
디아이,65,4380,-85,-1.9,하락
국동,66,3300,90,2.8,상승
SH에너지화학,67,851,-27,-3.08,하락
KODEX WTI원유선물(H),68,6615,-75,-1.12,하락
KG케미칼,69,21950,5050,29.88,상승
우리들제약,70,15000,2000,15.38,상승
인스코비,71,2280,-100,-4.2,하락
쌍용양회,72,5290,-80,-1.49,하락
현대약품,73,6260,-230,-3.54,하락
포스코케미칼,74,96000,8300,9.46,상승
코스모화학,75,10300,250,2.49,상승
코스모신소재,76,16300,400,2.52,상승
태양금속우,77,3750,300,8.7,상승
신풍제약,78,76100,-1300,-1.68,하락
청호컴넷,79,5850,1345,29.86,상승
삼성제약,80,4295,-85,-1.94,하락
한화시스템,81,10350,720,7.48,상승
고려산업,82,3815,-60,-1.55,하락
동양철관,83,1030,5,0.49,상승
대영포장,84,1095,25,2.34,상승
범양건영,85,6360,-90,-1.4,하락
에이프로젠 KIC,86,2725,-55,-1.98,하락
YG PLUS,87,4025,-80,-1.95,하락
경인양행,88,9110,-100,-1.09,하락
미래에셋대우2우B,89,4750,35,0.74,상승
삼성 인버스 2X WTI원유 선물 ETN,90,2065,50,2.48,상승
체시스,91,3085,35,1.15,상승
기아차,92,42250,100,0.24,상승
SG세계물산,93,607,-7,-1.14,하락
영진약품,94,6610,-90,-1.34,하락
삼성 인버스 2X 은 선물 ETN(H),95,1820,-130,-6.67,하락
쌍용차,96,3700,60,1.65,상승
NH투자증권,97,9120,-200,-2.15,하락
대양금속,98,4340,20,0.46,상승
대덕전자,99,12400,-450,-3.5,하락
국제약품,100,10800,300,2.86,상승
